y_Медианный доход по району	Широта	Долгота	Медианная стоимость дома в районе	Средний возраст населения	Всего номеров в районе	Население района	Всего домохозяйств в районе	Всего спален в районе
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class	meta	meta						
1.3578	37.85	-122.27	147500	40	751	409	166	184
2.4038	37.85	-122.28	107500	41	535	317	119	123
0.9506	37.82	-122.26	187500	40	624	423	160	195
1.7750	37.82	-122.27	112500	40	946	700	352	375
0.9218	37.82	-122.27	171900	21	896	735	438	453
1.1108	37.82	-122.27	97500	41	3221	1959	720	853
2.4830	37.81	-122.29	137500	20	835	290	133	161
0.9241	37.81	-122.28	177500	17	1237	762	439	462
2.4464	37.81	-122.28	102100	36	2914	1236	509	562
1.1111	37.81	-122.28	108300	19	1207	721	207	243
0.8026	37.81	-122.29	112500	23	1745	1054	325	374
2.0114	37.80	-122.28	131300	38	684	344	155	176
1.5000	37.81	-122.28	162500	17	924	609	289	289
1.8088	37.81	-122.28	118800	35	948	467	169	184
0.9770	37.81	-122.27	118800	40	880	582	380	451
2.0938	37.80	-122.27	162500	16	994	800	362	392
2.6354	37.79	-122.27	187500	27	1055	718	302	347
1.8477	37.80	-122.27	179200	39	1715	1327	467	623
2.8345	37.82	-122.26	183800	31	4596	2048	1180	1331
2.0062	37.81	-122.26	125000	29	335	202	91	107
1.2185	37.82	-122.26	170000	22	3682	2024	1250	1270
2.6104	37.82	-122.26	193100	37	3633	1838	980	1085
2.4912	37.81	-122.25	257800	29	4656	2304	1250	1414
3.1250	37.81	-122.25	237500	39	854	389	228	242
3.9063	37.82	-122.25	225000	28	3337	1520	802	855
2.6429	37.82	-122.25	218500	32	3809	1806	1022	1098
3.0233	37.82	-122.25	255000	26	3959	1749	1217	1196
3.4722	37.83	-122.25	243100	35	1613	675	422	428
6.0666	37.84	-122.20	311500	30	2211	844	343	346
7.4882	37.84	-122.20	319300	35	2865	1072	443	460
3.0812	37.80	-122.21	233100	38	2254	951	487	535
1.6121	37.80	-122.25	171400	41	1471	1062	413	469
1.3929	37.80	-122.25	193800	29	2468	1335	773	864
2.3173	37.79	-122.24	125000	27	1632	1171	429	492
2.2303	37.80	-122.25	116700	36	1678	1645	543	606
1.8854	37.79	-122.23	137500	30	999	1011	263	264
2.1638	37.79	-122.24	105500	39	1469	1464	389	431
1.6000	37.79	-122.25	112500	39	461	381	123	129
1.6929	37.80	-122.26	115000	20	2373	1659	676	779
2.1494	37.79	-122.22	132500	37	2343	1608	523	574
1.6198	37.79	-122.23	122700	30	610	425	140	145
1.3281	37.79	-122.23	113300	40	930	564	184	199
2.7969	37.79	-122.22	141700	38	3049	2167	659	711
2.8321	37.79	-122.20	150000	29	1640	939	340	376
2.8365	37.79	-122.21	139200	34	2364	1517	516	557
2.8750	37.79	-122.21	143800	35	1745	1143	386	409
3.0682	37.80	-122.21	156500	39	2003	1109	464	500
3.0757	37.80	-122.21	151000	39	2018	1221	446	447
5.1184	37.80	-122.20	239600	41	2070	804	340	354
4.1739	37.79	-122.20	169600	40	1060	667	235	256
2.9297	37.79	-122.19	140500	28	3144	1737	669	761
2.3036	37.79	-122.20	126000	35	1802	1009	390	459
2.8015	37.77	-122.22	114800	40	494	547	135	114
2.2562	37.77	-122.20	94800	39	2689	1888	537	597
2.0562	37.77	-122.20	102000	41	1547	1024	341	415
3.1167	37.78	-122.20	121600	39	1752	1071	376	399
3.8750	37.78	-122.18	225000	33	142	575	47	31
5.2578	37.79	-122.18	253000	39	617	236	106	95
7.0875	37.79	-122.18	240700	41	1411	626	214	233
6.2838	37.80	-122.18	318200	34	1355	442	195	195
6.7527	37.80	-122.18	285800	23	2317	955	328	336
7.0712	37.77	-122.13	293000	24	2459	916	324	317
2.8750	37.77	-122.17	135300	30	3326	1704	703	746
3.0958	37.77	-122.16	145800	39	1583	857	316	349
3.3958	37.77	-122.17	141900	39	1612	912	322	342
1.8710	37.77	-122.17	90700	31	2424	1360	452	533
1.9356	37.76	-122.17	90600	41	1594	1074	355	367
2.2917	37.76	-122.18	107000	37	1575	933	320	358
2.4333	37.76	-122.17	98200	38	1764	987	354	397
2.0786	37.77	-122.18	97500	27	909	396	157	236
2.4028	37.74	-122.17	97700	41	1613	1481	414	445
1.8438	37.74	-122.18	90500	35	504	323	109	126
2.5043	37.75	-122.17	92300	41	1257	828	230	271
1.5625	37.75	-122.16	91700	38	2457	1516	482	624
